pages,ns_per_access
1,2.08
2,1.87
3,1.81
4,1.77
5,1.67
6,1.74
7,1.67
8,1.77
9,1.71
10,1.71
11,1.70
12,1.74
13,1.70
14,1.73
15,1.69
16,1.74
17,5.10
18,8.06
19,8.49
20,8.44
21,8.37
22,8.47
23,8.55
24,8.23
25,8.47
26,8.01
27,8.07
28,8.07
29,8.06
30,8.58
31,8.13
32,8.19
33,8.31
34,8.14
35,8.06
36,8.14
37,7.98
38,7.99
39,7.99
40,7.99
41,7.98
42,8.00
43,7.98
44,7.98
45,7.99
46,7.99
47,7.98
48,8.00
49,8.00
50,7.99
51,8.01
52,7.99
53,8.33
54,8.63
55,7.99
56,7.99
57,7.99
58,7.99
59,7.99
60,7.99
61,7.98
62,7.99
63,8.00
64,7.99
76,7.99
91,7.99
109,7.99
130,7.99
156,7.99
187,8.57
224,9.21
268,8.26
321,8.16
385,7.99
462,8.09
554,6.99
664,7.12
796,6.98
955,9.96
1146,5.48
1375,6.51
1650,3.89
1980,6.44
2376,5.63
2851,6.08
3421,6.55
