set_a_pages,set_b_pages,ns_per_access
32,0,2.21
32,32,2.24
32,64,2.25
32,96,2.25
32,128,2.25
32,160,2.24
32,192,2.25
32,224,2.25
32,256,2.25
64,0,2.24
64,32,2.22
64,64,2.25
64,96,2.26
64,128,2.26
64,160,2.25
64,192,2.25
64,224,2.24
64,256,2.24
96,0,2.32
96,32,2.24
96,64,2.24
96,96,2.21
96,128,2.17
96,160,2.16
96,192,2.18
96,224,2.18
96,256,2.18
128,0,2.15
128,32,2.16
128,64,2.17
128,96,2.22
128,128,2.18
128,160,2.24
128,192,2.14
128,224,2.10
128,256,2.14
160,0,2.14
160,32,2.08
160,64,2.09
160,96,2.10
160,128,2.10
160,160,2.10
160,192,2.14
160,224,2.10
160,256,2.13
192,0,2.23
192,32,2.02
192,64,2.01
192,96,2.02
192,128,2.02
192,160,2.02
192,192,2.03
192,224,2.03
192,256,2.03
224,0,2.07
224,32,1.95
224,64,1.96
224,96,1.96
224,128,1.97
224,160,1.98
224,192,2.00
224,224,1.98
224,256,1.93
256,0,1.98
256,32,1.93
256,64,1.90
256,96,1.91
256,128,1.91
256,160,2.05
256,192,2.02
256,224,2.03
256,256,1.99
