pages,ns_per_access
1,3.79
2,3.79
3,3.81
4,3.82
5,3.81
6,3.81
7,3.80
8,3.82
9,3.81
10,3.82
11,3.81
12,3.82
13,3.81
14,3.82
15,3.82
16,3.82
17,3.82
18,3.81
19,3.81
20,3.82
21,3.82
22,3.82
23,3.82
24,3.82
25,3.83
26,3.82
27,3.82
28,3.82
29,3.82
30,3.82
31,3.82
32,3.82
33,3.84
34,3.83
35,3.84
36,3.84
37,3.85
38,3.85
39,3.86
40,3.84
41,3.85
42,3.85
43,3.33
44,3.33
45,3.34
46,3.33
47,3.34
48,3.34
49,3.34
50,3.34
51,3.33
52,3.33
53,3.33
54,3.34
55,3.33
56,3.34
57,3.82
58,3.34
59,3.59
60,3.34
61,3.33
62,3.57
63,3.55
64,3.34
76,3.34
91,3.34
109,3.34
130,3.35
156,3.34
187,3.34
224,3.12
268,2.99
321,3.01
385,2.99
462,3.00
554,2.98
664,2.82
796,2.87
955,2.75
1146,2.56
1375,2.48
1650,2.43
1980,2.34
