pages,ns_per_chase
1,1.750
2,1.750
3,1.722
4,1.729
5,1.767
6,1.722
7,1.738
8,1.719
9,7.991
10,9.892
11,7.985
12,8.118
13,8.167
14,8.262
15,8.100
16,8.052
17,8.039
18,8.028
19,8.092
20,8.233
21,8.087
22,8.091
23,8.062
24,8.038
25,8.000
26,8.022
27,8.327
28,8.113
29,8.149
30,8.239
31,8.043
32,7.992
33,7.990
34,7.990
35,7.990
36,7.991
37,7.989
38,8.033
39,7.991
40,7.990
41,7.992
42,7.990
43,8.283
44,7.991
45,8.091
46,7.116
47,7.220
48,6.986
49,6.986
50,6.987
51,6.987
52,6.986
53,7.057
54,6.207
55,6.382
56,6.205
57,6.303
58,6.374
59,6.203
60,14.133
61,14.309
62,14.312
63,14.604
64,14.311
65,14.310
66,14.513
67,14.308
68,14.309
69,14.308
70,14.310
71,14.311
72,13.604
73,11.709
74,11.708
75,11.708
76,11.870
77,11.709
78,11.709
79,11.899
80,11.707
81,11.711
82,10.523
83,10.078
84,9.976
85,9.977
86,9.976
87,9.975
88,9.976
89,10.404
90,9.977
91,9.976
92,10.351
93,9.977
94,9.975
95,8.876
96,8.646
97,7.083
98,7.082
99,8.750
100,8.638
101,8.639
102,8.857
103,8.638
104,8.639
105,8.639
106,8.638
107,8.639
108,8.349
109,7.802
110,7.699
111,7.700
112,7.699
113,7.700
114,7.923
115,7.700
116,7.700
117,7.699
118,7.781
119,7.699
120,7.700
121,7.602
122,7.083
123,7.083
124,7.084
125,7.082
126,7.212
127,7.083
128,7.154
129,7.083
130,7.084
131,6.697
132,6.684
133,6.685
134,6.620
135,6.620
136,6.619
137,6.619
138,6.682
139,6.620
140,6.548
141,6.241
142,6.267
143,6.723
144,6.241
145,6.241
146,6.241
147,6.241
148,6.351
149,6.240
150,6.241
151,6.294
152,6.241
153,5.984
154,5.927
155,5.948
156,5.928
157,6.028
158,5.928
159,5.975
160,5.927
161,5.927
162,5.735
163,5.735
164,5.689
165,5.734
166,5.731
167,5.689
168,5.727
169,5.689
170,5.689
171,5.538
172,5.532
173,5.490
174,5.528
175,5.491
176,5.491
177,5.510
178,5.534
179,5.554
180,5.306
181,5.306
182,5.306
183,5.369
184,5.530
185,5.306
186,5.343
187,5.365
188,5.439
189,5.115
190,5.141
191,5.559
192,5.184
193,5.115
194,5.344
195,5.238
196,5.148
197,5.115
198,5.249
199,5.147
200,5.167
201,5.053
202,5.062
203,5.020
204,5.063
205,5.020
206,5.019
207,5.120
208,5.034
209,4.912
210,4.983
211,4.852
212,4.934
213,5.220
214,4.957
